datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,49982.820877075195,0.0
2023-12-18 09:30:00-05:00,101178.3395614624,49982.820877075195,0.011783395614624048
2023-12-19 09:30:00-05:00,101274.14175415039,49982.820877075195,0.0009468646461605612
2023-12-20 09:30:00-05:00,101245.399269104,49982.820877075195,-0.00028380872499678134
2023-12-21 09:30:00-05:00,100296.9813156128,49982.820877075195,-0.009367516552237332
2023-12-22 09:30:00-05:00,101465.74248504639,49982.820877075195,0.01165300444841666
2023-12-23 09:30:00-05:00,101465.74248504639,49982.820877075195,0.0
2023-12-26 09:30:00-05:00,101456.1604385376,49982.820877075195,-9.443627252025966e-05
2023-12-27 09:30:00-05:00,103017.70146179199,49982.820877075195,0.015391288380170565
2023-12-28 09:30:00-05:00,103017.70146179199,49982.820877075195,0.0
2023-12-29 09:30:00-05:00,102806.9402923584,49982.820877075195,-0.002045873344512228
2023-12-30 09:30:00-05:00,102806.9402923584,49982.820877075195,0.0
