time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-20 09:30:00-05:00,MLTrader,USD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-20 09:30:00-05:00,MLTrader,USD,buy,market,fill,1,gtc,0.0,1,stock,53.5099983215332,934.0,0.0
2024-01-02 08:30:00-05:00,MLTrader,USD,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-01-02 08:30:00-05:00,MLTrader,USD,sell,stop,fill,1,day,0.0,1,stock,50.83449840545654,934.0,0.0
