datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,49966.24710083008,0.0
2023-12-18 09:30:00-05:00,99980.45120239258,49966.24710083008,-0.00019548797607427115
2023-12-19 09:30:00-05:00,99959.44808959961,49966.24710083008,-0.00021007219451785186
2023-12-20 09:30:00-05:00,100072.84759521484,49966.24710083008,0.001134455099367715
2023-12-21 09:30:00-05:00,100152.33642578125,49966.24710083008,0.0007943096701708008
2023-12-22 09:30:00-05:00,100105.19271850586,49966.24710083008,-0.0004707199947384666
2023-12-23 09:30:00-05:00,100105.19271850586,49966.24710083008,0.0
2023-12-26 09:30:00-05:00,100113.93920898438,49966.24710083008,8.737299475680693e-05
2023-12-27 09:30:00-05:00,99954.04693603516,49966.24710083008,-0.0015971030029638955
2023-12-28 09:30:00-05:00,99905.17700195312,49966.24710083008,-0.0004889240163863384
2023-12-29 09:30:00-05:00,99921.64825439453,49966.24710083008,0.0001648688580080382
2023-12-30 09:30:00-05:00,99921.64825439453,49966.24710083008,0.0
